reviewId,userName,content,score,at,replyContent
fbf1fb23-f69f-4cf7-bd66-4ea00bb1c43e,Bhumika Sharma,please hamara WhatsApp chalu Karen aapki ATI kripa hogi hamara WhatsApp,5,2025-09-16 23:20:51,
964aeccf-1ff9-49c0-87f1-b401a0c1be1f,Blessing Augustin,Watsapp,5,2025-09-16 22:07:39,
4e20dafc-d2f6-4f59-9966-c1e9d5c8fea4,Alpa dabhi,whatsapp verification code not received emergency for me please send me verification code,1,2025-09-16 20:27:59,
32328a2b-9678-4057-97de-a029b63063bf,Kiran Sabar,𝓚𝓲𝓻𝓪𝓷 𝓼𝓪𝓫𝓪𝓻,5,2025-09-16 19:05:46,
010e620f-4fc6-46ff-a91d-93988690f5be,nazir ngah,not b space,3,2025-09-16 18:34:10,
06af24dd-db26-40ca-8a64-029c449a9038,Santosh Kumar,Pooja,1,2025-09-16 17:43:32,
29f466d0-8119-4e21-8324-52c213f0f548,Rkushan Begam,ask Babu,5,2025-09-16 17:36:12,
f901268d-1e0b-42ce-b423-cbbed1ace50b,Fareedalihero9876 Fareedalihero,WhatsApp,5,2025-09-16 17:09:32,
e78e3fb8-c27f-42d6-8593-38b153769eb8,Prakash Mishra,whatsapp,5,2025-09-16 16:40:23,
f291f9cd-ad37-4b9e-876e-49d293495333,Baiaroh mangu,"about 2,4 days every week my whatapp block sparm my account",1,2025-09-16 16:02:14,
7ca78c52-cdc8-42dd-8fc7-20e170d1c7a0,Khalifa Ali,thank you,5,2025-09-16 15:37:13,
1d6900e6-1f1a-4fb9-96a3-3b36ec36cdb6,Amit Ksaip,Amit Kashyap,4,2025-09-16 15:11:03,
16aafe74-cbc3-4f79-b397-373c03b09960,Manshi Kumaris,abhishek kumar singh ok,5,2025-09-16 15:10:59,
dbb654a7-384a-45ed-b0ea-15dbde76eaf9,Imamhusen Mandyal,imamhusen.mandyal.imamhusen.mandyal.imamhusen.mandyal.imamhusenmandyal.imamhusen.mandyal,5,2025-09-16 14:47:04,
eadb408c-d8fd-42c1-a94b-f36d45e9f03e,Ali Raza,request,1,2025-09-16 14:44:06,
2e5cb4de-ece6-4d6e-912f-37885f88415c,Phathutshezo Foromo,This app works like magic,5,2025-09-16 14:29:12,
ecc909d8-3af1-470c-8e6f-d11c3e402971,Gursewak Singh,good,3,2025-09-16 13:11:08,
f4078f28-6e73-4511-8cba-f029c76730cf,Abraham Samuel,"Excellent service. Please, keep up your good works.",5,2025-09-16 13:11:01,
42b8f81d-0a25-44ec-bf8b-3afd92802f5f,Jonti Bro,WhatsApp income account for earning my phone number 🙏 please send me All account,5,2025-09-16 13:10:15,
01136068-a27c-4239-a777-e76fa83ad876,Sk.masthani Masthani,good,5,2025-09-16 13:10:02,
fc83e85b-eafc-4dba-903d-b402c127272f,Mdasif Hasain,valo,5,2025-09-16 13:10:00,
9d710cd4-58c0-41fb-936c-a30962b5925f,Ahsan Gill,"Hey Team Whatsapp My Whatsapp number was banned last week and i tried to restore my account but failed. I am facing this problem ""This Account cannot use Whatsapp"" I assure you i have not violated any policy of Whatsapp and this is my personal number and i am facing very problems now a days. So please consider my request and restore my Whatsapp account as soon as possible",1,2025-09-16 13:08:11,
579b2b58-0ad0-49ba-8967-39d82c04fd0b,Bicky Deepak,nice 👍,5,2025-09-16 13:07:30,
98bfd6ea-4d2a-42a1-bf57-a3ab3d937449,SAHIL AV,"When listening to WhatsApp audio messages consecutively with the phone on my ear, a sudden disturbing sound occurs between messages. This makes it uncomfortable and difficult to use voice messages.",3,2025-09-16 13:07:18,
97ab33d9-61b8-4772-aa3a-64a4926454fd,Surinder Kumar,whatsaap nhi chl rha,1,2025-09-16 13:07:12,
f5731499-5fbf-4000-9580-3794c39b1804,MUKESH KUMAR,Good 👍,2,2025-09-16 13:07:08,
553b68ef-7644-44b2-aa7a-449cb8758a93,Edwin Mugendi,rate your experience for how easy to use the app is edu edu,5,2025-09-16 13:05:43,
045fd537-9b8e-4cf3-a64c-5e780bec268b,Oragu Nora Chisom,Am always warned to update it within 15 days,5,2025-09-16 13:05:10,
0d370967-2f2f-4ce8-8d28-11772811283c,Mulji Bhai Khimsuriya,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,2025-09-16 13:04:55,
4898ef97-6fba-4077-8d56-3308248f9d7c,Nummua Ously,WhatsApp is great,5,2025-09-16 13:04:19,
60f4c3a7-a7bf-4384-b428-9a16f1f1adca,Sam Odong,active man honest,5,2025-09-16 13:04:18,
f6692f82-da79-459e-9f2c-cbfe7f2d677f,Shivangi Upadhyay,connecting problem this what's app,5,2025-09-16 13:03:44,
7e39f05d-1ba3-4071-a906-9f4060ad6db6,Ama,Great,3,2025-09-16 13:03:12,
9a3bd6db-fec5-4f0b-a285-1b052115ee7c,Dinakar kummara,not good,5,2025-09-16 13:02:23,
9d5c009c-f10e-462f-a322-87798ebfc7ad,Tabbib Hussain,Not working in my device,1,2025-09-16 13:02:14,
799f7eed-4576-42f3-a286-3191d38883c6,Kafeel Boss,very beautiful app 😍,5,2025-09-16 13:01:26,
ebc8ff40-9fa8-475d-9dac-e53dc107eddc,Silas Igoh,I can't download WhatsApp on phone,5,2025-09-16 13:00:38,
e978d695-57c6-4205-a912-9ff3f9d65ce1,अरविंद धीमान श्याम प्रेमी यमुना नगर,nice शेयर कीजिए @अरविन धीमान श्याम प्रेमी यमुना नगर,5,2025-09-16 12:59:52,
cfd698e6-fb57-4728-9ed7-f2c996b93c33,Somaning Kumbar,good,4,2025-09-16 12:59:30,
274cd240-a544-46aa-ad87-39eb9f67211c,Tanzeela786,are Whatsapp is being banded for no reason solve this issue,1,2025-09-16 12:59:16,
bb0c4ee4-fc69-4be8-8098-c6ad354045b0,Octavia Mathebula,Good,5,2025-09-16 12:59:09,
0cbeed24-300e-4662-9214-5d463630203d,otlar world,vat karu kya hua kya hai toh kya hua kya hai toh kya hua hai usko bola to be on the only thing we were just don't know what to do that has ever you can get some reason why you should have a lot about the same time to time to go out with you guys have been a while back and friends are pending further away with my friends are pending an amazing time to time and energy drink water bottle and a new phone is the only way I don't want them I love it when they get to see it now but it's also said she s,5,2025-09-16 12:58:53,
7f62d54f-4674-406a-8ce7-9cbf20e6ed75,Martha Goliati,transporter,5,2025-09-16 12:58:04,
539e3194-9ce3-4f4c-bc08-bdd0e7f865ac,Ishaq Khan,Editing 460,5,2025-09-16 12:58:00,
5703dd82-4db3-49fd-a4fc-788ab9c50efb,Akhtar Ali Ali,very good,5,2025-09-16 12:57:45,
645ebc2d-badf-4a6f-9f93-b69e07c30a16,Siddhant Tiwari,most working app in my day,3,2025-09-16 12:57:42,
