id,userName,review,rating,date
13145328325,weathersafety,Great for group chats,5,2025-09-16T10:49:57-07:00
13145181656,hollylea46,Really like the app,5,2025-09-16T10:06:21-07:00
13145145525,Raccoonslov,only thing is i got hacked,2,2025-09-16T09:55:41-07:00
13145144141,Haddieo,This is a great communication app! I could call my loved ones across the globe with a Samsung! I could see their daily lives too! When you post only the people you know can see your status! I recommend!,5,2025-09-16T09:55:16-07:00
13145129517,Valle Armas,Perfect app,5,2025-09-16T09:51:02-07:00
13144957917,Travisharger,"I’m forced to use WhatsApp but have have and continue to hate the look of it. 

Messaging seems so cluttered, please take a few cues from Apple Messages - hide the timestamps, check marks on every message instead of a simple delivered/read on the bottom is so messy, and would love a Liquid Glass implementation while you’re at it. 

Also, the app Icon blows. One of my absolute most hated icons. I don’t even if keep it on my springboard cause I hate looking at it.

Also, I would reallllllllly love to not constantly be added to random spam groups. Figure that out.",3,2025-09-16T09:01:53-07:00
13144941871,Mr João,O app está funcionando perfeitamente e sempre é atualizado com novidades novas.,5,2025-09-16T08:57:16-07:00
13144899422,Jones-1988,When will WhatsApp get Liquid Glass,5,2025-09-16T08:45:16-07:00
13144897604,Элозу,"В последнее время Вотсап глючит не на шутку. Поисковик тормознутый ищет контакт целую минуту.
Звонки скидываются.
Смски по 10 раз пересылать приходится. В общем г***о вотсап удалить нахрен к чертям собачим.",2,2025-09-16T08:44:46-07:00
13144678864,Dr. Dut Israel matiop,"I think it will be better for WhatsApp officials to prevent receiver from deleting messages from everyone (sender and receiver), it is annoying when you send something and the person delete for all just to deny it in the future. I will really appreciate this feature please 🙏🙏",4,2025-09-16T07:44:04-07:00
13144564475,solarbeiu,tệ,1,2025-09-16T07:12:37-07:00
13144392440,Pathufathi,MyWhatsApp is not updating,1,2025-09-16T06:24:51-07:00
13144320159,Spondon4343,"Please update the app. Post iOS 26 update, the app freezes when an unknown number is sending a first message and it offers to add the new contact to be added to the address book. Requires an update.",1,2025-09-16T06:04:17-07:00
13143965570,Nwaprof,Excellent service,5,2025-09-16T04:16:26-07:00
