reviewId,userName,content,score,at,replyContent,clean_review
fbf1fb23-f69f-4cf7-bd66-4ea00bb1c43e,Bhumika Sharma,please hamara WhatsApp chalu Karen aapki ATI kripa hogi hamara WhatsApp,5,2025-09-16 23:20:51,,please hamara whatsapp chalu karen aapki ati kripa hogi hamara whatsapp
964aeccf-1ff9-49c0-87f1-b401a0c1be1f,Blessing Augustin,Watsapp,5,2025-09-16 22:07:39,,watsapp
4e20dafc-d2f6-4f59-9966-c1e9d5c8fea4,Alpa dabhi,whatsapp verification code not received emergency for me please send me verification code,1,2025-09-16 20:27:59,,whatsapp verification code not received emergency for me please send me verification code
32328a2b-9678-4057-97de-a029b63063bf,Kiran Sabar,𝓚𝓲𝓻𝓪𝓷 𝓼𝓪𝓫𝓪𝓻,5,2025-09-16 19:05:46,,
010e620f-4fc6-46ff-a91d-93988690f5be,nazir ngah,not b space,3,2025-09-16 18:34:10,,not b space
06af24dd-db26-40ca-8a64-029c449a9038,Santosh Kumar,Pooja,1,2025-09-16 17:43:32,,pooja
29f466d0-8119-4e21-8324-52c213f0f548,Rkushan Begam,ask Babu,5,2025-09-16 17:36:12,,ask babu
f901268d-1e0b-42ce-b423-cbbed1ace50b,Fareedalihero9876 Fareedalihero,WhatsApp,5,2025-09-16 17:09:32,,whatsapp
e78e3fb8-c27f-42d6-8593-38b153769eb8,Prakash Mishra,whatsapp,5,2025-09-16 16:40:23,,whatsapp
f291f9cd-ad37-4b9e-876e-49d293495333,Baiaroh mangu,"about 2,4 days every week my whatapp block sparm my account",1,2025-09-16 16:02:14,,about 2 4 days every week my whatapp block sparm my account
7ca78c52-cdc8-42dd-8fc7-20e170d1c7a0,Khalifa Ali,thank you,5,2025-09-16 15:37:13,,thank you
1d6900e6-1f1a-4fb9-96a3-3b36ec36cdb6,Amit Ksaip,Amit Kashyap,4,2025-09-16 15:11:03,,amit kashyap
16aafe74-cbc3-4f79-b397-373c03b09960,Manshi Kumaris,abhishek kumar singh ok,5,2025-09-16 15:10:59,,abhishek kumar singh ok
dbb654a7-384a-45ed-b0ea-15dbde76eaf9,Imamhusen Mandyal,imamhusen.mandyal.imamhusen.mandyal.imamhusen.mandyal.imamhusenmandyal.imamhusen.mandyal,5,2025-09-16 14:47:04,,imamhusen mandyal imamhusen mandyal imamhusen mandyal imamhusenmandyal imamhusen mandyal
eadb408c-d8fd-42c1-a94b-f36d45e9f03e,Ali Raza,request,1,2025-09-16 14:44:06,,request
2e5cb4de-ece6-4d6e-912f-37885f88415c,Phathutshezo Foromo,This app works like magic,5,2025-09-16 14:29:12,,this app works like magic
ecc909d8-3af1-470c-8e6f-d11c3e402971,Gursewak Singh,good,3,2025-09-16 13:11:08,,good
