id,userName,review,rating,date,link,clean_review,source
13157587777,J9tichy,I’ve had nothing but problems with scammers on WhatsApp,1,2025-09-19 09:14:48-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,ive had nothing but problems with scammers on whatsapp,Apple App Store
13157508241,3TEN_GBB,I gave whatsapp three star cause they suspend it I add my lost contact back by saying save my contact I lost all contacts,3,2025-09-19 08:53:48-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,i gave whatsapp three star cause they suspend it i add my lost contact back by saying save my contact i lost all contacts,Apple App Store
13157461360,Deep Waters Ministry,This a Cool App,5,2025-09-19 08:41:24-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,this a cool app,Apple App Store
13157176000,Calldrop video,Its very disappointing. While im i a video call the call always hangs up or disconnects in the middle of the call it happens every single time when im in a group video call with my family need to fix this,1,2025-09-19 07:28:56-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,its very disappointing while im i a video call the call always hangs up or disconnects in the middle of the call it happens every single time when im in a group video call with my family need to fix this,Apple App Store
13157023702,kevin2590,Keyboard overlaps the last message and makes it difficult see or read after the new IOS 26 update. Also the new keyboard layout in the message app doesn’t seem to appear on this app for some reason. Please fix it.,1,2025-09-19 06:50:37-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,keyboard overlaps the last message and makes it difficult see or read after the new ios 26 update also the new keyboard layout in the message app doesnt seem to appear on this app for some reason please fix it,Apple App Store
13156993258,ymike30,excelente todo pero quien me podría ayudar?? los audios que subo a mis estados no los puedo escuchar completos por favor solo eso🙏🏽,4,2025-09-19 06:42:54-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,excelente todo pero quien me podra ayudar los audios que subo a mis estados no los puedo escuchar completos por favor solo eso,Apple App Store
13156736120,محمد السيد عبدالعال,Thanksgiving,5,2025-09-19 05:35:03-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,thanksgiving,Apple App Store
13156687858,Leevz1234,Staying in contact with family overseas made easy,5,2025-09-19 05:21:52-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,staying in contact with family overseas made easy,Apple App Store
13156627722,Pradeep Sreereddy,"App is not responding properly, please update immediately. Chats are going below keyboard, some times giving more gap between each message in chat.",5,2025-09-19 05:05:10-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,app is not responding properly please update immediately chats are going below keyboard some times giving more gap between each message in chat,Apple App Store
13156615605,Crazy horse 10,A lot of scammers operate on this platform. I think it’s better to get easier to get to you on WhatsApp than to text you back-and-forth thanks what out? You’re giving crooks a great opportunity.,1,2025-09-19 05:01:48-07:00,https://itunes.apple.com/us/review?id=310633997&type=Purple%20Software,a lot of scammers operate on this platform i think its better to get easier to get to you on whatsapp than to text you back and forth thanks what out youre giving crooks a great opportunity,Apple App Store
